months,Contact Rate,Infected,Infection Rate,Infectivity,Population,Recovered,Recovery Rate,Recovery Time,Susceptible
16.5,50,26.4493263646,0.124782526118,0.1,2500,972.191775636,8.81644212152,3,2.35889799987
16.6,50,25.580160405,0.120043587025,0.1,2500,973.073419848,8.52672013501,3,2.34641974725
16.7,50,24.7394927502,0.115504505162,0.1,2500,973.926091861,8.24649758341,3,2.33441538855
16.8,50,23.9263934424,0.111155560842,0.1,2500,974.75074162,7.9754644808,3,2.32286493804
16.9,50,23.1399625504,0.106987588249,0.1,2500,975.548288068,7.71332085013,3,2.31174938195
17,50,22.3793292242,0.102991938913,0.1,2500,976.319620153,7.45977640807,3,2.30105062313
17.1,50,21.6436507773,0.0991604479039,0.1,2500,977.065597793,7.2145502591,3,2.29075142923
17.2,50,20.9321117962,0.0954854025117,0.1,2500,977.787052819,6.97737059873,3,2.28083538444
17.3,50,20.2439232766,0.0919595132258,0.1,2500,978.484789879,6.74797442552,3,2.27128684419
17.4,50,19.5783217853,0.0885758868166,0.1,2500,979.159587322,6.52610726178,3,2.26209089287
17.5,50,18.9345686478,0.0853280013555,0.1,2500,979.812198048,6.31152288261,3,2.25323330419
17.6,50,18.3119491597,0.082209683018,0.1,2500,980.443350336,6.10398305324,3,2.24470050405
17.7,50,17.7097718227,0.0792150845285,0.1,2500,981.053748642,5.90325727423,3,2.23647953575
17.8,50,17.1273676037,0.0763386651195,0.1,2500,981.644074369,5.70912253457,3,2.2285580273
17.9,50,16.5640892168,0.0735751718859,0.1,2500,982.214986622,5.52136307226,3,2.22092416079
18,50,16.0193104267,0.0709196224281,0.1,2500,982.76712293,5.33977014224,3,2.2135666436
18.1,50,15.4924253748,0.0683672886844,0.1,2500,983.301099944,5.16414179158,3,2.20647468136
18.2,50,14.9828479245,0.065913681862,0.1,2500,983.817514123,4.99428264149,3,2.19963795249
18.3,50,14.4900110285,0.0635545383851,0.1,2500,984.316942387,4.83000367617,3,2.1930465843
18.4,50,14.0133661147,0.061285806782,0.1,2500,984.799942755,4.67112203824,3,2.18669113046
18.5,50,13.5523824916,0.059103635443,0.1,2500,985.267054959,4.51746083052,3,2.18056254978
18.6,50,13.1065467721,0.0570043611839,0.1,2500,985.718801042,4.36884892402,3,2.17465218624
18.7,50,12.6753623158,0.0549844985565,0.1,2500,986.155685934,4.22512077193,3,2.16895175012
18.8,50,12.2583486884,0.0530407298517,0.1,2500,986.578198011,4.08611622948,3,2.16345330027
18.9,50,11.8550411385,0.0511698957448,0.1,2500,986.986809634,3.95168037949,3,2.15814922728
19,50,11.4649900901,0.049368986538,0.1,2500,987.381977672,3.82166336337,3,2.15303223771
19.1,50,11.0877606524,0.047635133956,0.1,2500,987.764144009,3.69592021747,3,2.14809533905
19.2,50,10.7229321441,0.0459656034575,0.1,2500,988.13373603,3.57431071469,3,2.14333182566
19.3,50,10.3700976329,0.0443577870246,0.1,2500,988.491167102,3.45669921098,3,2.13873526531
19.4,50,10.0288634906,0.0428091963983,0.1,2500,988.836837023,3.34295449685,3,2.13429948661
19.5,50,9.69884896051,0.0413174567282,0.1,2500,989.171132473,3.2329496535,3,2.13001856697
19.6,50,9.37968574083,0.0398803006087,0.1,2500,989.494427438,3.12656191361,3,2.1258868213
19.7,50,9.07101757953,0.0384955624746,0.1,2500,989.807083629,3.02367252651,3,2.12189879124
19.8,50,8.77249988313,0.0371611733328,0.1,2500,990.109450882,2.92416662771,3,2.11804923499
19.9,50,8.48379933769,0.0358751558064,0.1,2500,990.401867545,2.82793311256,3,2.11433311765
20,50,8.20459354201,0.0346356194712,0.1,2500,990.684660856,2.734864514,3,2.11074560207
20.1,50,7.93457065256,0.0334407564645,0.1,2500,990.958147307,2.64485688419,3,2.10728204013
20.2,50,7.67342903979,0.0322888373491,0.1,2500,991.222632996,2.55780967993,3,2.10393796448
20.3,50,7.42087695553,0.0311782072151,0.1,2500,991.478413964,2.47362565184,3,2.10070908075
20.4,50,7.17663221107,0.0301072820047,0.1,2500,991.725776529,2.39221073702,3,2.09759126002
20.5,50,6.94042186557,0.0290745450445,0.1,2500,991.964997603,2.31347395519,3,2.09458053182
20.6,50,6.71198192455,0.0280785437741,0.1,2500,992.196344998,2.23732730818,3,2.09167307732
20.7,50,6.49105704811,0.0271178866559,0.1,2500,992.420077729,2.1636856827,3,2.08886522294
20.8,50,6.27740026851,0.0261912402569,0.1,2500,992.636446297,2.09246675617,3,2.08615343428
20.9,50,6.07077271691,0.0252973264908,0.1,2500,992.845692973,2.02359090564,3,2.08353431025
21,50,5.870943359,0.0244349200098,0.1,2500,993.048052063,1.95698111967,3,2.0810045776
21.1,50,5.67768873903,0.0236028457382,0.1,2500,993.243750175,1.89256291301,3,2.0785610856
21.2,50,5.49079273231,0.0227999765382,0.1,2500,993.433006467,1.8302642441,3,2.07620080103
21.3,50,5.31004630555,0.0220252309999,0.1,2500,993.616032891,1.77001543518,3,2.07392080337
21.4,50,5.13524728513,0.0212775713487,0.1,2500,993.793034435,1.71174909504,3,2.07171828027
21.5,50,4.96620013276,0.0205560014615,0.1,2500,993.964209344,1.65540004425,3,2.06959052314
21.6,50,4.80271572848,0.0198595649877,0.1,2500,994.129749349,1.60090524283,3,2.06753492299
21.7,50,4.6446111607,0.0191873435655,0.1,2500,994.289839873,1.54820372023,3,2.06554896649
21.8,50,4.49170952303,0.0185384551314,0.1,2500,994.444660245,1.49723650768,3,2.06363023214
21.9,50,4.34383971778,0.0179120523148,0.1,2500,994.594383896,1.44794657259,3,2.06177638662
22,50,4.20083626575,0.0173073209138,0.1,2500,994.739178553,1.40027875525,3,2.05998518139
22.1,50,4.06253912232,0.0167234784479,0.1,2500,994.879206428,1.35417970744,3,2.0582544493
22.2,50,3.92879349942,0.0161597727824,0.1,2500,995.014624399,1.30959783314,3,2.05658210146
22.3,50,3.79944969338,0.0156154808208,0.1,2500,995.145584182,1.26648323113,3,2.05496612418
22.4,50,3.67436291835,0.0150899072616,0.1,2500,995.272232506,1.22478763945,3,2.05340457609
22.5,50,3.55339314513,0.0145823834152,0.1,2500,995.394711269,1.18446438171,3,2.05189558537
22.6,50,3.4364049453,0.0140922660787,0.1,2500,995.513157708,1.1454683151,3,2.05043734703
